meanfreq,sd,median,Q25,Q75,IQR,kurt,sp.ent,sfm,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
[2499.58666944],0.073434904,0.343759,0.12479039840400219,0.6406330764293671,0.5158426780253649,-0.92885685,0.0010919427,0.0010919427,2246.506450405098,-12.286341,-503.57184,233.68484,-12.286341,-503.57184,233.68484,737.2567,-12.286341,male
[2625.84574787],0.07106853,0.316477,0.11360098607838154,0.6356333941221237,0.5220324080437422,-0.9265639,0.00093600166,0.00093600166,2268.700274008926,-12.136567,-507.68048,240.9336,-12.136567,-507.68048,240.9336,748.6141,-12.136567,male
[2556.34800337],0.07006827,0.27492368,0.09975354187190533,0.5885364711284637,0.4887829292565584,-0.27691445,0.0007098527,0.0007098527,2114.7905468920976,-12.168019,-488.19348,238.27005,-12.168019,-488.19348,238.27005,726.4635,-12.168019,male
[2892.18948185],0.047156513,0.3739441,0.1489013247191906,0.6600190997123718,0.5111177749931812,-0.9079016,0.0030842863,0.0030842863,2722.0532106742085,-13.488507,-528.15344,239.20488,-13.488507,-528.15344,239.20488,767.35834,-13.488507,male
[3039.27885626],0.04445008,0.49756432,0.2620072364807129,0.7296898365020752,0.4676826000213623,-1.0000981,0.0030863795,0.0030863795,2613.801594849299,-14.472835,-530.8567,244.17802,-14.472835,-530.8567,244.17802,775.0347,-14.472835,male
[2779.35491869],0.0601485,0.37987673,0.13802464678883553,0.6753012984991074,0.5372766517102718,-1.0123801,0.001713854,0.001713854,2582.7096389396,-13.112211,-497.0896,255.06148,-13.112211,-497.0896,255.06148,752.15106,-13.112211,male
[2893.84540009],0.053428233,0.4718038,0.22611253336071968,0.7226681411266327,0.496555607765913,-0.9736848,0.0022426003,0.0022426003,2551.117011683209,-13.983851,-517.4703,245.4739,-13.983851,-517.4703,245.4739,762.9442,-13.983851,male
[2875.85187238],0.046656724,0.450257,0.17414316534996033,0.7119123339653015,0.5377691686153412,-1.0302062,0.0039776014,0.0039776014,2660.770920712452,-13.882536,-515.3032,248.23146,-13.882536,-515.3032,248.23146,763.53467,-13.882536,male
[2618.72751163],0.062139984,0.35153353,0.14834287762641907,0.6438349932432175,0.4954921156167984,-0.71541375,0.0015999769,0.0015999769,2667.277282462656,-11.848725,-524.449,246.26208,-11.848725,-524.449,246.26208,770.71106,-11.848725,male
[2864.47686581],0.048089013,0.35655802,0.16162266582250595,0.6444516479969025,0.4828289821743965,-0.83139426,0.0019330276,0.0019330276,2752.1333295045915,-12.559948,-511.03113,265.67157,-12.559948,-511.03113,265.67157,776.7027,-12.559948,male
